m,n,rounding,overflow,acc
,,none,none,98.71
0.0,0.0,ceil,saturate,9.8
0.0,1.0,ceil,saturate,9.8
0.0,2.0,ceil,saturate,9.8
0.0,3.0,ceil,saturate,14.09
0.0,4.0,ceil,saturate,37.11
0.0,5.0,ceil,saturate,91.91
0.0,6.0,ceil,saturate,97.97
0.0,7.0,ceil,saturate,98.5
0.0,8.0,ceil,saturate,98.58
1.0,0.0,ceil,saturate,9.8
1.0,1.0,ceil,saturate,9.8
1.0,2.0,ceil,saturate,9.8
1.0,3.0,ceil,saturate,14.07
1.0,4.0,ceil,saturate,37.11
1.0,5.0,ceil,saturate,91.91
1.0,6.0,ceil,saturate,97.95
1.0,7.0,ceil,saturate,98.48
1.0,8.0,ceil,saturate,98.65
2.0,0.0,ceil,saturate,9.8
2.0,1.0,ceil,saturate,9.8
2.0,2.0,ceil,saturate,9.8
2.0,3.0,ceil,saturate,14.25
2.0,4.0,ceil,saturate,36.97
2.0,5.0,ceil,saturate,91.9
2.0,6.0,ceil,saturate,98.12
2.0,7.0,ceil,saturate,98.44
2.0,8.0,ceil,saturate,98.67
3.0,0.0,ceil,saturate,9.8
3.0,1.0,ceil,saturate,9.8
3.0,2.0,ceil,saturate,9.8
3.0,3.0,ceil,saturate,14.19
3.0,4.0,ceil,saturate,37.33
3.0,5.0,ceil,saturate,92.07
3.0,6.0,ceil,saturate,98.0
3.0,7.0,ceil,saturate,98.54
3.0,8.0,ceil,saturate,98.66
4.0,0.0,ceil,saturate,9.8
4.0,1.0,ceil,saturate,9.8
4.0,2.0,ceil,saturate,9.8
4.0,3.0,ceil,saturate,14.17
4.0,4.0,ceil,saturate,37.73
4.0,5.0,ceil,saturate,91.89
4.0,6.0,ceil,saturate,97.98
4.0,7.0,ceil,saturate,98.56
4.0,8.0,ceil,saturate,98.69
5.0,0.0,ceil,saturate,9.8
5.0,1.0,ceil,saturate,9.8
5.0,2.0,ceil,saturate,9.8
5.0,3.0,ceil,saturate,14.14
5.0,4.0,ceil,saturate,37.22
5.0,5.0,ceil,saturate,91.92
5.0,6.0,ceil,saturate,98.01
5.0,7.0,ceil,saturate,98.43
5.0,8.0,ceil,saturate,98.73
