m,n,rounding,overflow,acc
,,none,none,98.17
0.0,0.0,floor,wrap,9.8
0.0,1.0,floor,wrap,9.8
0.0,2.0,floor,wrap,9.79
0.0,3.0,floor,wrap,9.93
0.0,4.0,floor,wrap,23.08
0.0,5.0,floor,wrap,80.63
0.0,6.0,floor,wrap,96.09
0.0,7.0,floor,wrap,97.48
0.0,8.0,floor,wrap,97.75
1.0,0.0,floor,wrap,9.8
1.0,1.0,floor,wrap,9.8
1.0,2.0,floor,wrap,9.8
1.0,3.0,floor,wrap,9.68
1.0,4.0,floor,wrap,24.04
1.0,5.0,floor,wrap,82.7
1.0,6.0,floor,wrap,96.74
1.0,7.0,floor,wrap,97.96
1.0,8.0,floor,wrap,98.08
2.0,0.0,floor,wrap,9.8
2.0,1.0,floor,wrap,9.8
2.0,2.0,floor,wrap,9.79
2.0,3.0,floor,wrap,9.82
2.0,4.0,floor,wrap,24.06
2.0,5.0,floor,wrap,82.63
2.0,6.0,floor,wrap,96.61
2.0,7.0,floor,wrap,97.85
2.0,8.0,floor,wrap,98.08
3.0,0.0,floor,wrap,9.8
3.0,1.0,floor,wrap,9.8
3.0,2.0,floor,wrap,9.79
3.0,3.0,floor,wrap,9.85
3.0,4.0,floor,wrap,24.12
3.0,5.0,floor,wrap,83.08
3.0,6.0,floor,wrap,96.7
3.0,7.0,floor,wrap,97.86
3.0,8.0,floor,wrap,98.23
4.0,0.0,floor,wrap,9.8
4.0,1.0,floor,wrap,9.8
4.0,2.0,floor,wrap,9.79
4.0,3.0,floor,wrap,9.71
4.0,4.0,floor,wrap,23.89
4.0,5.0,floor,wrap,83.11
4.0,6.0,floor,wrap,96.72
4.0,7.0,floor,wrap,97.88
4.0,8.0,floor,wrap,98.12
5.0,0.0,floor,wrap,9.8
5.0,1.0,floor,wrap,9.8
5.0,2.0,floor,wrap,9.79
5.0,3.0,floor,wrap,9.78
5.0,4.0,floor,wrap,23.92
5.0,5.0,floor,wrap,82.9
5.0,6.0,floor,wrap,96.78
5.0,7.0,floor,wrap,97.94
5.0,8.0,floor,wrap,98.16
